thread_id,termination_type,template_category,kbas_retrieved,has_deflection,deflection_msg_count,deflection_type
f993ef98-17b4-495d-8b78-5b71a2f042ff,abandoned,Unknown,5,0,0,no_deflection
c6653fe9-96a9-45cc-baeb-368ed658f617,resolved,Mobile Device Issue,7,0,0,no_deflection
aadf6115-5902-4d7c-a3b9-e27fcaf3b702,restarted,Request for Information/assistance IT,5,0,0,no_deflection
3b479e8b-8864-4f15-91f9-547465dc8cd5,restarted,Software Issue,2,0,0,no_deflection
edfe6f89-9d26-4f7c-8cbb-3988effd5644,abandoned,Unknown,5,0,0,no_deflection
b1941936-2999-4b5a-938b-f5570c8c8c6e,resolved,Microsoft 365,7,0,0,no_deflection
2ee9b5fa-5214-4f12-8ee4-fd530f9b3d0a,escalated,Software Issue,4,0,0,no_deflection
7e62e012-0d36-4970-b981-fa44ecc1328e,resolved,Mobile Device Issue,6,0,0,no_deflection
138627de-2bfb-4808-a5b1-d5d968ffa42c,abandoned,Unknown,2,0,0,no_deflection
3feac075-41f0-4e7c-b86c-84c32b41a0b8,escalated,Software Issue,1,0,0,no_deflection
6c5735d3-fa12-4f24-8b76-be13661402ff,escalated,Printing Issue,3,0,0,no_deflection
e7229d20-2b29-479b-ba3a-3400da4c34f8,escalated,Software Issue,5,0,0,no_deflection
dbc5b9bc-fbb0-4baf-acb3-b18d1f9308eb,abandoned,Unknown,9,0,0,no_deflection
42a8413c-1cdf-4e59-b6d8-0872af5d6933,restarted,Request for Information/assistance IT,5,0,0,no_deflection
2a61c932-431b-4709-933c-ede6ebd3c879,abandoned,Unknown,10,1,1,explicit_acknowledgment
d4ec6300-4deb-4c34-86b5-12a0d66724b4,escalated,Software Issue,0,0,0,silent_stall
f55bcce0-8f13-4d65-9cb8-164b1541d17f,restarted,Microsoft 365,2,0,0,no_deflection
b1d6bf12-cfea-4b28-87d5-6b003d5b72f2,abandoned,Unknown,2,0,0,no_deflection
e099e8a4-b2cf-4a9e-b544-bcc8ea8ed3dd,restarted,Microsoft 365,3,0,0,no_deflection
41bd1632-160c-43dd-ad64-c81bf9839696,abandoned,Unknown,4,0,0,no_deflection
6c5a7a21-6bba-4b20-b062-63b5de113b06,abandoned,Unknown,3,0,0,no_deflection
bbbc9be9-8166-43f9-a26b-62507f1c5f6e,abandoned,Unknown,3,0,0,no_deflection
317c1a4d-ad28-473a-b05d-e88ec06afb79,escalated,Network Issues,5,0,0,no_deflection
7d861d52-65d8-423a-b6d6-5f24a73c92be,abandoned,Unknown,3,0,0,no_deflection
49e75751-e77a-4231-a47f-9c4ac6cceceb,restarted,Request for Information/assistance IT,0,0,0,silent_stall
f7742ac5-baa4-49bf-9e47-916077d2ebee,restarted,Request for Information/assistance IT,0,0,0,silent_stall
5413ccb4-7c47-4d57-b7a0-8f931e035f60,abandoned,Unknown,0,0,0,silent_stall
6675e6a7-e757-4267-8d22-251b155d1d82,resolved,Software Issue,3,0,0,no_deflection
99746b73-70ea-42cd-a70a-b2a0b1d2bac3,restarted,Request for Information/assistance IT,1,0,0,no_deflection
abb77b54-7fee-49d4-8f68-a66fe653db4c,restarted,Unknown,3,0,0,no_deflection
6932890d-aab2-45cc-b4d1-a6604b7b9c7d,escalated,Network Issues,7,0,0,no_deflection
27f6623d-911b-43de-8c13-417fd5a8a57d,restarted,Network Issues,4,0,0,no_deflection
7cd672c6-ab6d-4d92-9bea-fd45509b6d14,abandoned,Unknown,4,0,0,no_deflection
6f0a0953-7ba0-4602-a68f-a8fafa97e554,escalated,Network Issues,5,0,0,no_deflection
47580a23-d62a-4fb3-88d5-7970adbcead1,resolved,Request for Information/assistance IT,3,0,0,no_deflection
f9575e6f-e6a2-41b4-bfda-2f8b6d959d58,abandoned,Unknown,7,0,0,no_deflection
b5eb71b0-9a20-4409-8ad4-a7e33f8953ec,abandoned,Unknown,5,0,0,no_deflection
aff45463-7d0f-4ebd-8636-fd74f68464cd,abandoned,Unknown,4,0,0,no_deflection
5c9bdae2-1673-48cb-aa71-fad1921bc131,abandoned,Unknown,6,0,0,no_deflection
91ed722a-17d7-4d71-93a7-cd8a3d5f5be7,resolved,Request for Information/assistance IT,5,0,0,no_deflection
27cb62bd-9606-498a-b6e3-7a2ce1ec6e99,escalated,Printing Issue,3,0,0,no_deflection
772223d1-bb50-4cac-a1f7-e37fa2e5a0dc,abandoned,Unknown,3,0,0,no_deflection
922a659c-e026-4128-99f0-64fd020ab0cb,escalated,LincPass Issues,7,0,0,no_deflection
bec5dd55-fc64-4c5b-9a8b-2a2d682d14d7,restarted,Request for Information/assistance IT,1,1,1,explicit_acknowledgment
8b0c0e29-62d0-4d5a-b616-0ba6f9e2437e,abandoned,Unknown,4,0,0,no_deflection
8979de71-753e-4c2d-b6f1-c02e828a66ed,resolved,Microsoft 365,9,1,1,explicit_acknowledgment
ae7ce6f7-cdbd-4b90-a04b-232bdae93736,resolved,LincPass Issues,3,0,0,no_deflection
5e95781c-38a6-4498-b554-4823d20772aa,restarted,Request for Information/assistance IT,4,0,0,no_deflection
58ddc5a8-019a-4e97-b0df-167d6786b847,abandoned,Unknown,4,0,0,no_deflection
baebd9ae-41a8-436a-b1af-3e0b59b9f2b5,restarted,Printing Issue,3,0,0,no_deflection
4291ae83-32b1-4e23-97ff-b0c68c2443e9,abandoned,Unknown,0,0,0,silent_stall
3949fd41-0f21-4048-b94c-417bbb0ac036,resolved,Software Issue,6,0,0,no_deflection
b058f3ff-00c3-4725-9422-9391733cdb1e,abandoned,Unknown,5,0,0,no_deflection
fc4b9d55-60ab-4b43-b254-915a11ce95c1,abandoned,Unknown,0,0,0,silent_stall
d5365edd-b7c0-4605-bb9d-a1da7270455a,escalated,Microsoft 365,4,0,0,no_deflection
3f207be2-05f2-46d9-817d-34404ef68ce9,abandoned,Unknown,4,0,0,no_deflection
127d2b71-4078-448c-b894-18a50ea6f9c3,abandoned,Unknown,4,0,0,no_deflection
caa0b891-87db-4108-b642-d283b67ed06e,resolved,Microsoft 365,5,0,0,no_deflection
31784907-d130-4cbb-9297-499baafe7c12,abandoned,Unknown,4,0,0,no_deflection
0d3ce771-8f77-4e92-a22b-1f77b1882b68,restarted,Software Issue,0,0,0,silent_stall
09448a41-eca6-46e9-a249-f45cb82559a8,escalated,Software Issue,1,1,1,explicit_acknowledgment
2b671905-69a2-4f26-b9bc-14d588101d51,abandoned,Unknown,7,0,0,no_deflection
fcdf0fd6-4af5-4aac-bc3a-f70fa7486bad,resolved,Microsoft 365,1,0,0,no_deflection
5211e49d-008b-4f42-867c-a0efc6c836b7,abandoned,Unknown,7,0,0,no_deflection
873e8597-d12d-4668-bd7a-6ba3ba484af1,escalated,Request for Information/assistance IT,7,0,0,no_deflection
3677432e-099e-4a21-aa73-a140fcba87b5,restarted,LincPass Issues,2,0,0,no_deflection
16ef2468-4f3c-4561-8834-52dc382f89a6,restarted,Unknown,7,0,0,no_deflection
c00f999c-e6b0-4127-b1df-311063b76201,abandoned,Unknown,4,0,0,no_deflection
5f724a63-dc0e-4dda-8702-2000679f6f3b,abandoned,Unknown,4,0,0,no_deflection
adcb8157-0f01-466d-8850-019e2f5d86c9,restarted,Software Issue,9,1,1,explicit_acknowledgment
ebb96e56-1127-4288-b279-5761519170c9,abandoned,Unknown,3,0,0,no_deflection
17872ee1-84d2-4ddf-89eb-32f7dec0cc94,resolved,Network Issues,9,0,0,no_deflection
0fb385a7-d005-4f98-a13d-1b4977bbf9ea,restarted,Software Issue,14,1,1,explicit_acknowledgment
c209ee52-5955-4037-ae04-da30a89e0b7b,escalated,Software Issue,0,0,0,silent_stall
9b45e048-6851-4b2b-99a0-72cabcbec7a0,abandoned,Unknown,3,0,0,no_deflection
444097c2-6f9f-4331-a365-0893c7f211d5,escalated,Request for Information/assistance IT,3,0,0,no_deflection
c4ae01bf-7eb5-4056-bfad-df5e40bd3c77,restarted,Mobile Device Issue,4,1,1,explicit_acknowledgment
eb7060d4-95ca-4214-8b69-83127dddef08,restarted,Request for Information/assistance IT,7,1,2,explicit_acknowledgment
c3414f16-f5eb-4e2a-b945-2748ec69ae0e,abandoned,Unknown,5,0,0,no_deflection
00591f3e-e93f-4fd3-9992-94da66a94a97,abandoned,Unknown,2,0,0,no_deflection
ee9c52f0-337e-4377-aed1-c79536796697,escalated,Microsoft 365,5,1,1,explicit_acknowledgment
64a63601-0296-4131-b1ec-c47506fa5211,escalated,Hardware Issues,1,0,0,no_deflection
35938363-99c1-448b-bfc7-69beb7dfc3bf,restarted,Request for Information/assistance IT,3,0,0,no_deflection
8e4a0582-7165-43fa-8159-dfe13487a12f,escalated,Microsoft 365,3,0,0,no_deflection
e26af405-9b7c-4912-ac82-72537fe2e0d4,escalated,LincPass Issues,6,0,0,no_deflection
56e676d0-97f5-46b0-97d6-0f960b7502ff,escalated,Software Issue,3,0,0,no_deflection
872a8fc6-31c9-41a0-81e2-3170e60f9b0f,abandoned,Unknown,4,0,0,no_deflection
810aa046-3a7a-41d0-9047-5a3f9bce73c7,resolved,Request for Information/assistance IT,10,0,0,no_deflection
7caa43f8-5676-4e44-b1b7-c4699dec77dc,restarted,Software Issue,2,0,0,no_deflection
c9901fa5-000a-41a6-9118-93cb9b6bd634,restarted,Software Issue,3,1,1,explicit_acknowledgment
e0cdc637-d713-45dd-9102-461ba817f37e,abandoned,Unknown,6,0,0,no_deflection
6f45fb56-cefb-4aa2-a694-ae631de5be24,escalated,Microsoft 365,0,0,0,silent_stall
4f29fc87-f9ef-4bbb-bf9d-d6d26d4ee7c8,restarted,Request for Information/assistance IT,5,0,0,no_deflection
51c26f97-7dea-43e3-a45c-db3801c1333f,abandoned,Unknown,4,0,0,no_deflection
6ef3e4c4-18a7-4b4a-bad4-58d0f9b5be9f,abandoned,Unknown,4,0,0,no_deflection
dac8619c-ebf0-48b0-98d4-3402a11a362d,resolved,Request for Information/assistance IT,4,0,0,no_deflection
f9acd3d9-9afb-43b5-bd05-f324557d4171,abandoned,Unknown,3,0,0,no_deflection
3a7a45a3-141c-41c7-9cb3-7c36eeefdc5a,escalated,Hardware Issues,5,0,0,no_deflection
49784f4e-5379-4aa3-b512-7dc968aced08,escalated,Mobile Device Issue,9,0,0,no_deflection
4c721764-48d5-403a-b586-782ef05e9db4,escalated,Network Issues,8,0,0,no_deflection
f94dc459-dcc6-4214-87a4-1a47b329a54e,abandoned,Unknown,5,0,0,no_deflection
a908dd22-38cc-4e2f-acba-a622da855778,escalated,Request for Information/assistance IT,4,0,0,no_deflection
1b505c1a-3e0a-4b46-8f2b-d62870b4a3c3,abandoned,Unknown,3,1,1,explicit_acknowledgment
7957d37f-020c-4485-bdfd-746a680e1b30,restarted,Request for Information/assistance IT,6,1,1,explicit_acknowledgment
6421c377-a1c8-4286-b3b1-d3d1fe740206,abandoned,Unknown,0,0,0,silent_stall
fc0e501a-371b-46d2-9ebc-e632fde7231e,abandoned,Unknown,3,0,0,no_deflection
4d5f1845-e165-4614-83f3-16d2571f1bfe,abandoned,Unknown,2,0,0,no_deflection
6a42e73e-1401-4db8-b985-b2c24c46924d,resolved,Request for Information/assistance IT,5,0,0,no_deflection
8e38cd06-2240-4da6-916e-248a88d91b60,restarted,Request for Information/assistance IT,3,1,1,explicit_acknowledgment
9c39cfd7-7620-4b4e-9818-0eaf8f1121eb,abandoned,Unknown,4,0,0,no_deflection
f6d500db-91c7-4041-a3ce-b7e4ce725ee0,abandoned,Unknown,5,0,0,no_deflection
35f96c7b-0da3-44e8-ae76-25ee7a871a15,abandoned,Unknown,4,0,0,no_deflection
41799a2f-abbd-4b15-b2d0-b7d825591687,escalated,LincPass Issues,4,0,0,no_deflection
7a30a9e1-bc60-48cc-9bd1-91ed349f9fc7,abandoned,Unknown,8,0,0,no_deflection
b593579f-40e0-4514-88e4-9dac94bc1588,abandoned,Unknown,3,0,0,no_deflection
8e0d75d4-b310-4e0f-9715-e34eb65afb77,escalated,Software Issue,0,0,0,silent_stall
802ca143-bca8-4d2a-aff7-ab607ac5e5bf,abandoned,Unknown,4,0,0,no_deflection
1e670f95-bcfe-48f9-b12b-79cd1bff7dbd,abandoned,Unknown,4,0,0,no_deflection
393aa4b0-02e0-4d54-946e-42630d02210d,abandoned,Unknown,3,0,0,no_deflection
4e75315a-0c1a-489f-b209-c9e9a9957287,abandoned,Unknown,3,0,0,no_deflection
3aebbbdd-941c-47b4-a835-1394edcc5b8b,abandoned,Unknown,3,1,1,explicit_acknowledgment
03039c3b-78d9-40cb-ba89-b877d9634e06,escalated,Request for Information/assistance IT,2,0,0,no_deflection
4f7056fc-b3ca-4d2c-9720-22328a84ddab,abandoned,Unknown,2,0,0,no_deflection
6d824778-5294-4fb8-a5c7-63d157513870,abandoned,Unknown,4,1,1,explicit_acknowledgment
a8c28a2e-12f9-4982-9e40-65b35235354f,abandoned,Unknown,2,0,0,no_deflection
7a97dcd6-c10e-4924-878f-532e2f35723d,resolved,Request for Information/assistance IT,5,0,0,no_deflection
e877de5d-ed73-472f-9f33-bdfdcc80cf3e,restarted,Request for Information/assistance IT,0,0,0,silent_stall
5d3d3042-9afc-4d06-b7f5-20a97b3a0f38,abandoned,Unknown,5,0,0,no_deflection
717119e5-ae02-4adc-a4e7-a70a6ff4fe31,abandoned,Unknown,10,0,0,no_deflection
844b30f6-6472-41d3-b872-44bfc41360b9,resolved,Microsoft 365,6,0,0,no_deflection
1b2f0674-6789-46f6-8beb-620bfe4ff430,resolved,Microsoft 365,5,0,0,no_deflection
707a8496-ff33-46b5-8c8e-6375ded68d82,abandoned,Unknown,5,0,0,no_deflection
a700181c-5184-4248-bcda-6898ccba833d,abandoned,Unknown,4,0,0,no_deflection
943c8ee8-21db-42d2-ac70-564797a6213d,restarted,Request for Information/assistance IT,4,0,0,no_deflection
3a11f535-e135-4525-8739-2022d5725c38,abandoned,Unknown,3,0,0,no_deflection
99a30f1b-96d3-4291-9796-2af2c88a61da,resolved,Request for Information/assistance IT,3,0,0,no_deflection
90f1f437-4af8-4fee-adc4-58b11f80fe56,abandoned,Unknown,1,0,0,no_deflection
72432aa8-4265-4e4d-bf7e-a0438246ccdc,escalated,Microsoft 365,1,0,0,no_deflection
4cc26ed3-43c7-4664-b16b-b5b20d719ac5,restarted,Network Issues,8,0,0,no_deflection
c0106c4f-554c-45f6-92a2-95ac446fe86e,abandoned,Unknown,1,0,0,no_deflection
73a2a9c8-946f-4fa6-a4c3-6733e175a75d,abandoned,Unknown,2,0,0,no_deflection
c3294614-c3a8-492c-856f-22e57ecb0fe5,abandoned,Unknown,8,1,1,explicit_acknowledgment
c516af80-f3bd-4b76-b88a-a44698f73c73,abandoned,Unknown,7,0,0,no_deflection
294f8dce-6fa1-4f03-beba-66340e835812,abandoned,Unknown,4,0,0,no_deflection
0f22c11a-f05e-4460-a649-fd1e7ff9e45b,abandoned,Unknown,4,0,0,no_deflection
a1e88d43-9535-4628-9c4d-c481cc5f47b1,escalated,Microsoft 365,3,0,0,no_deflection
3f3490b5-4709-498c-80cc-39dc620f6d9d,abandoned,Unknown,0,0,0,silent_stall
25e38fa8-7f00-44da-959a-4e52cf3d2b1d,restarted,Request for Information/assistance IT,0,0,0,silent_stall
2c26a251-8a46-4f2b-b751-8c768b08a1c2,restarted,Unknown,0,0,0,silent_stall
48314e0a-5f3e-4e75-9942-fdd4afe8aa10,escalated,Software Issue,0,0,0,silent_stall
d3dc2acc-520b-4444-9d7c-4b1090ef79dc,abandoned,Unknown,2,1,1,explicit_acknowledgment
842c5e19-340a-4102-98cb-37a2c87db188,restarted,Request for Information/assistance IT,2,0,0,no_deflection
a4323283-dba3-4c6c-8814-c30323dfb9d8,abandoned,Unknown,4,0,0,no_deflection
bee81cca-d7fd-4674-8a8a-74f1bdca16c3,abandoned,Unknown,6,0,0,no_deflection
8511f0fd-ec02-4e1c-b984-f95288c67122,abandoned,Unknown,3,0,0,no_deflection
b893d973-3466-42f0-a911-303fabd087ac,abandoned,Unknown,4,0,0,no_deflection
4c584636-f7e7-400e-be0e-ae70f6a2db86,escalated,Mobile Device Issue,11,0,0,no_deflection
a6f6edce-4f5d-48db-9b8d-da7414edbe5b,abandoned,Unknown,7,0,0,no_deflection
54eb0b53-45a1-4f6d-bb84-d46d6de7d6f3,abandoned,Unknown,9,1,1,explicit_acknowledgment
6b76e183-ce49-4934-ad96-8554eb42fbca,resolved,Software Issue,3,0,0,no_deflection
9fda136d-c0a1-4cb9-8d0b-13bf6ec6dbe7,resolved,Request for Information/assistance IT,3,0,0,no_deflection
f2b324f6-3b8c-4034-986f-5b55fb0cc82c,abandoned,Unknown,1,0,0,no_deflection
0519312b-51f2-4e37-bcc8-9189d4eae640,abandoned,Unknown,5,0,0,no_deflection
c112ee0e-665c-4a44-8e05-522f8749b4c7,escalated,Hardware Issues,4,0,0,no_deflection
a18094a5-a1bd-447c-a020-c56d2d530b2e,escalated,Printing Issue,2,0,0,no_deflection
7f555c34-2dbf-49fa-923b-512f9ce2ad95,resolved,Request for Information/assistance IT,3,0,0,no_deflection
7b256863-2001-4ce9-8c42-2e14c303aed1,escalated,Mobile Device Issue,5,0,0,no_deflection
a8cd5520-3c6d-42d8-83e6-176265c7904e,abandoned,Unknown,3,0,0,no_deflection
fa7fb855-61bf-4516-8361-877fb9152adb,restarted,Unknown,6,1,1,explicit_acknowledgment
3c28b2c1-f7bc-4b18-be43-0101418f3957,abandoned,Unknown,6,0,0,no_deflection
ccbfd0ed-a118-4f23-9f21-7b9ee6adcc67,abandoned,Unknown,5,0,0,no_deflection
1a3275d9-07b5-41aa-ad37-97c9eef974af,abandoned,Unknown,5,0,0,no_deflection
2c6313e8-8150-4d25-8ca2-d9a1d167e175,abandoned,Unknown,3,0,0,no_deflection
1cc0692a-b952-45f9-ac20-1bb7c5674a5e,escalated,Software Issue,4,0,0,no_deflection
8010dcce-53e6-4543-aa29-77ac5d04966e,abandoned,Unknown,1,0,0,no_deflection
f9cc73c0-a6cd-437d-9cbc-c88c6c6b8f9a,abandoned,Unknown,5,0,0,no_deflection
d287b801-e55d-4ab7-ad74-20211fbc3f85,resolved,Request for Information/assistance IT,5,0,0,no_deflection
1b8a4dd2-f55f-41d6-adc2-ad761d6a66d1,escalated,Software Issue,5,0,0,no_deflection
60b34804-5bea-48a0-bc8c-dd8d6532b42d,abandoned,Unknown,5,0,0,no_deflection
9f29b34f-3ac4-4ab0-90f8-b4da7cef4e72,abandoned,Unknown,4,0,0,no_deflection
ba7bf765-1d0a-4f08-b36d-dd9f802e10d1,abandoned,Unknown,0,0,0,silent_stall
c1184ffb-52be-4155-8fa1-e46791e38d6f,escalated,Software Issue,5,0,0,no_deflection
daba5afa-784a-4db8-8df6-9defa884d346,resolved,Request for Information/assistance IT,3,0,0,no_deflection
ad4bf8b4-850c-438c-b510-534889203cf9,restarted,LincPass Issues,5,0,0,no_deflection
a8af5f9e-b58d-4187-b50a-2f19a3688b15,abandoned,Unknown,5,0,0,no_deflection
12e29807-f0dc-42e5-99b2-b7c3606b5a56,abandoned,Unknown,5,0,0,no_deflection
ae7b2bcc-313e-41e3-a931-6c3d8f99284a,abandoned,Unknown,3,0,0,no_deflection
f8be9ec7-639e-4268-a7cc-1d1e8ba1fe07,abandoned,Unknown,7,0,0,no_deflection
7bd02587-5a18-4fcb-8a3d-20222f2847ae,restarted,Request for Information/assistance IT,5,0,0,no_deflection
b07eb03f-5196-4104-9831-fa54af1321f1,abandoned,Unknown,5,0,0,no_deflection
b2ec5e3a-0e42-4b13-93c4-7b4f7617c6a3,abandoned,Unknown,5,0,0,no_deflection
4b259028-ab96-4793-a888-2df3b644e9c2,resolved,LincPass Issues,3,0,0,no_deflection
9a29c6c3-d115-45d1-8441-65e0ebe37a9a,abandoned,Unknown,2,0,0,no_deflection
1669c34a-c788-4e39-a598-ecec9daf72a9,escalated,Mobile Device Issue,6,0,0,no_deflection
ccf1c236-6b2a-42b6-880e-3faf5caf094f,abandoned,Unknown,6,0,0,no_deflection
a6320022-4ee7-4178-b798-818502888bbb,restarted,Microsoft 365,3,0,0,no_deflection
1fb6efc2-465e-407e-be38-d8ba10cb4541,abandoned,Unknown,4,0,0,no_deflection
80d18e76-6d10-420f-bceb-d797ee55ab32,resolved,Request for Information/assistance IT,3,0,0,no_deflection
2d9f5b26-421e-4a1b-b269-ad7fe885ab7a,abandoned,Unknown,4,0,0,no_deflection
fa17a62f-fded-4bbf-b2cd-8bbcfef3f641,abandoned,Unknown,1,0,0,no_deflection
2dcef99d-f555-46f6-a6be-c6822dde682f,abandoned,Unknown,4,1,1,explicit_acknowledgment
05600b17-d89d-42fb-8c83-dcb4a89e02d7,abandoned,Unknown,4,0,0,no_deflection
524f5747-54f1-4d85-add4-00ff732a1c4e,resolved,Printing Issue,3,0,0,no_deflection
4f5b3607-8c96-4b84-8be7-841d626ec5cd,restarted,Software Issue,0,0,0,silent_stall
87117cce-b431-4b9f-91e4-8cb228d63fd1,abandoned,Unknown,3,0,0,no_deflection
88c2851f-6458-423e-a24d-b9473ea7080d,abandoned,Unknown,4,0,0,no_deflection
7873cea5-8799-4733-886f-e5f04fa00c4e,abandoned,Unknown,5,1,1,explicit_acknowledgment
6bf43a45-a6bf-4893-a1a3-fe9b6237348c,escalated,Software Issue,0,0,0,silent_stall
40e0e50a-4717-4ef9-98bc-f12af53950ef,abandoned,Unknown,4,0,0,no_deflection
a1dbdee7-8557-4b4f-b025-c300b55113b5,escalated,Mobile Device Issue,0,0,0,silent_stall
