thread_id,termination_type,template_category,month,app_version,feedback_rating,is_resolved,is_escalated,is_self_contained,deflection_value
1b863708-ee2e-4bd8-adbb-8b540a27c07a,escalated,Microsoft 365,2026-01,2.52.0,,0,1,0,0.0
e84582d8-fb18-46b1-b91d-e41f8f07af56,abandoned,Unknown,2026-01,2.52.0,,0,0,1,0.5
c1c11182-e4f7-419d-a79f-35060ac1753e,restarted,Software Issue,2026-01,2.52.0,,0,0,1,0.5
34b33721-6221-4bfc-afab-b8a44a49cbdf,resolved,Network Issues,2026-01,2.52.0,,1,0,1,1.0
6e043858-e232-4cf9-b823-679dec2ef15d,abandoned,Unknown,2026-01,2.52.0,,0,0,1,0.5
b5220629-97a2-41b6-9fd8-ec99e874ae24,resolved,LincPass Issues,2026-01,2.52.0,,1,0,1,1.0
7f7580e6-b299-47b8-b1ee-8454aac23ecf,abandoned,Unknown,2026-01,2.52.0,,0,0,1,0.5
27fe0494-a5d5-4837-9958-2f537b30c38a,abandoned,Unknown,2026-01,2.52.0,,0,0,1,0.5
42fc23fb-00fa-463a-93f3-bff98ac83215,restarted,Unknown,2026-01,2.52.0,,0,0,1,0.5
5dbbb358-0670-487a-bceb-77301249396e,restarted,Unknown,2026-01,2.52.0,,0,0,1,0.5
1f502cc7-3229-49f4-a547-2b241aaf8838,escalated,Software Issue,2026-01,2.52.0,,0,1,0,0.0
d8300f21-dcde-4162-af93-5520496f98ac,abandoned,Unknown,2026-01,2.52.0,,0,0,1,0.5
168057a1-733c-4b77-a368-28b1e9bc6ce0,abandoned,Unknown,2026-01,2.52.0,,0,0,1,0.5
e22d99fc-ca1e-4c5a-8921-a4b178340392,escalated,Microsoft 365,2026-01,2.52.0,,0,1,0,0.0
6c934452-cf4c-4949-bede-3107f9ec4835,abandoned,Unknown,2026-01,2.52.0,,0,0,1,0.5
a2134644-abf3-4d0f-ac99-1267db303b7f,resolved,Software Issue,2026-01,2.52.0,,1,0,1,1.0
d9643f49-fd1e-4430-91ea-cd778958a497,abandoned,Unknown,2026-01,2.52.0,,0,0,1,0.5
41c718e7-6eb4-4710-b71e-929e3ff8f35a,abandoned,Unknown,2026-01,2.52.0,,0,0,1,0.5
