thread_id,termination_type,template_category,conversation_date,month,app_version,feedback_rating,is_resolved,is_escalated,is_self_contained,deflection_value,avg_response_length,total_turns,human_turns,avg_response_latency_secs,kbas_retrieved,io_ratio,session_duration_secs,restart_flag,avg_vocab_complexity,human_score,llm_accuracy,llm_helpfulness,llm_tone,llm_brevity,llm_composite,llm_reasoning
1b863708-ee2e-4bd8-adbb-8b540a27c07a,escalated,Microsoft 365,2026-01-02,2026-01,2.52.0,,0,1,0,0.0,45.71,57,7,2.61,8,4.92,410.6,0,8.35,,,,,,,
e84582d8-fb18-46b1-b91d-e41f8f07af56,abandoned,Unknown,2026-01-02,2026-01,2.52.0,,0,0,1,0.5,222.0,16,1,7.5,2,17.08,8.1,0,5.47,,,,,,,
c1c11182-e4f7-419d-a79f-35060ac1753e,restarted,Software Issue,2026-01-02,2026-01,2.52.0,,0,0,1,0.5,101.0,50,6,3.4,8,11.22,92.2,1,8.14,,,,,,,
34b33721-6221-4bfc-afab-b8a44a49cbdf,resolved,Network Issues,2026-01-02,2026-01,2.52.0,,1,0,1,1.0,64.43,74,8,3.18,10,14.09,1645.1,0,7.32,,,,,,,
6e043858-e232-4cf9-b823-679dec2ef15d,abandoned,Unknown,2026-01-02,2026-01,2.52.0,,0,0,1,0.5,64.09,146,18,2.67,16,3.81,3004.0,0,10.37,,,,,,,
b5220629-97a2-41b6-9fd8-ec99e874ae24,resolved,LincPass Issues,2026-01-05,2026-01,2.52.0,,1,0,1,1.0,36.33,24,2,3.35,5,15.57,78.6,0,6.54,,,,,,,
7f7580e6-b299-47b8-b1ee-8454aac23ecf,abandoned,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,109.0,20,2,3.05,6,6.06,29.5,0,15.85,,,,,,,
27fe0494-a5d5-4837-9958-2f537b30c38a,abandoned,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,108.0,16,1,6.3,2,21.6,6.9,0,10.94,,,,,,,
42fc23fb-00fa-463a-93f3-bff98ac83215,restarted,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,265.0,16,1,9.4,5,18.93,10.4,1,8.39,,,,,,,
5dbbb358-0670-487a-bceb-77301249396e,restarted,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,147.0,20,2,3.45,1,13.36,54.0,1,10.04,,,,,,,
1f502cc7-3229-49f4-a547-2b241aaf8838,escalated,Software Issue,2026-01-05,2026-01,2.52.0,,0,1,0,0.0,22.0,23,3,2.5,0,4.0,82.4,0,7.64,,,,,,,
d8300f21-dcde-4162-af93-5520496f98ac,abandoned,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,213.0,16,1,7.8,5,8.88,8.5,0,8.59,,,,,,,
168057a1-733c-4b77-a368-28b1e9bc6ce0,abandoned,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,141.0,16,1,5.6,6,23.5,6.3,0,7.99,,,,,,,
e22d99fc-ca1e-4c5a-8921-a4b178340392,escalated,Microsoft 365,2026-01-05,2026-01,2.52.0,,0,1,0,0.0,33.4,32,4,2.55,1,4.28,157.7,0,7.83,,,,,,,
6c934452-cf4c-4949-bede-3107f9ec4835,abandoned,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,185.0,16,1,11.3,2,26.43,12.0,0,6.62,,,,,,,
a2134644-abf3-4d0f-ac99-1267db303b7f,resolved,Software Issue,2026-01-05,2026-01,2.52.0,,1,0,1,1.0,43.67,24,2,4.6,4,16.38,139.1,0,5.39,,,,,,,
d9643f49-fd1e-4430-91ea-cd778958a497,abandoned,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,123.0,16,1,6.2,6,6.15,6.9,0,8.86,,,,,,,
41c718e7-6eb4-4710-b71e-929e3ff8f35a,abandoned,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,45.0,16,1,5.0,3,22.5,5.6,0,9.74,,,,,,,
9b1421fb-0164-4199-b83c-1b5d013dc099,abandoned,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,153.0,16,1,7.2,7,15.3,7.9,0,6.71,,,,,,,
f918029c-4705-420b-98ef-a66757c62e1f,restarted,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,12.0,15,2,2.2,0,3.0,18.4,1,9.37,,,,,,,
15ded22b-92df-48a1-bc13-9763280743f5,restarted,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,92.0,16,1,5.7,1,7.08,6.3,1,7.73,,,,,,,
cc58bef0-7618-4437-bd13-6931d41dc69d,restarted,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,143.0,16,1,5.8,4,11.92,6.5,1,10.43,,,,,,,
e877ae5e-53d9-4d3d-bce2-5d895465e544,restarted,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,59.0,16,1,6.7,2,2.95,7.3,1,8.58,,,,,,,
ac673669-614a-4741-a537-f32e9619dbd4,restarted,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,38.0,16,1,4.9,3,4.22,5.6,1,3.82,,,,,,,
a6cd5c1d-3c1f-43fe-8793-859903498d1b,abandoned,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,109.11,116,13,3.28,3,8.77,297.3,0,8.13,,,,,,,
e5327c9e-ac85-41ee-805d-4377704943bb,restarted,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,34.0,41,4,3.05,5,5.1,115.5,1,8.2,,,,,,,
537fd8c5-ff06-4a00-901b-d388b8de861f,restarted,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,68.0,16,1,5.6,6,3.78,6.2,1,12.57,,,,,,,
48534c35-53f7-4f30-aa09-c6625d3d51b7,restarted,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,135.0,16,1,6.9,3,10.38,7.5,1,8.54,,,,,,,
cbdbf979-9b00-4d23-9ba0-61cae79c9596,restarted,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,87.0,16,1,5.3,2,4.58,6.0,1,6.59,,,,,,,
1a4d6947-5dd5-4757-b7e4-5e029bb2fd0c,restarted,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,25.0,16,1,4.8,4,1.92,5.3,1,7.86,,,,,,,
f3e460e3-8631-49fd-97c0-06cd7cd04f1e,restarted,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,23.0,16,1,5.3,7,1.05,5.9,1,12.64,,,,,,,
10644b7f-b06a-4acb-8d9c-cab6d1df3577,restarted,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,26.0,16,1,5.0,4,2.36,5.7,1,14.5,,,,,,,
2056311b-366a-4837-837d-ad1413db026a,abandoned,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,59.67,43,5,3.32,6,7.16,2134.1,0,8.57,,,,,,,
13abe520-6f7a-410d-836b-ae0369bb4bb1,restarted,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,21.0,16,1,4.8,1,1.75,5.4,1,12.11,,,,,,,
fb2f98a2-836e-4a42-9a10-ea33504d3b56,restarted,Unknown,2026-01-05,2026-01,2.52.0,,0,0,1,0.5,168.0,16,1,7.2,1,10.5,8.2,1,7.83,,,,,,,
eaea6816-30fe-4771-8c22-47abd7d2e8d2,resolved,Microsoft 365,2026-01-05,2026-01,2.52.0,,1,0,1,1.0,22.67,24,2,3.0,3,4.25,223.2,0,5.51,,,,,,,
ea136955-20ce-4dec-a823-564cf55eb3c3,abandoned,Unknown,2026-01-06,2026-01,2.52.0,,0,0,1,0.5,40.0,16,1,5.7,7,6.67,6.6,0,18.95,,,,,,,
e7d467c1-2f6d-46d5-adaa-6a6c3861c57e,escalated,Network Issues,2026-01-06,2026-01,2.52.0,,0,1,0,0.0,22.67,35,5,2.36,4,1.64,729.5,0,9.32,,,,,,,
c7bbd207-37f3-4a52-82ca-399209677248,escalated,Hardware Issues,2026-01-06,2026-01,2.52.0,,0,1,0,0.0,38.8,32,4,4.57,4,4.73,148.2,0,7.16,,,,,,,
93152562-3c51-4b55-b74b-c2b311b93eb8,abandoned,Unknown,2026-01-06,2026-01,2.52.0,,0,0,1,0.5,87.0,16,1,6.5,5,1.89,7.2,0,10.72,,,,,,,
6d14ab9e-3c0f-4fc8-95fa-18b049fef21b,escalated,Software Issue,2026-01-06,2026-01,2.52.0,,0,1,0,0.0,49.4,32,4,6.0,8,19.0,130.9,0,7.42,,,,,,,
